date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:10:27	252757/252757	---M-Z	200	added ('OK')	text/html	etag:W/%223db55-mf+3Zc+mCt+zq/LgM+KE7NR/Qsk%22	https://www.trustedshops.de/bewertung/info_XF83EE0CD9C4D551755AF32C24FA60B5A.html	C:/My%20Web%20Sites/c/www.trustedshops.de/bewertung/info_XF83EE0CD9C4D551755AF32C24FA60B5A.html	(from )
17:10:27	1032/1032	---M--	200	added ('OK')	text/plain	date:Thu,%2002%20Mar%202017%2006:42:24%20GMT	https://www.trustedshops.de/robots.txt		(from )
17:10:32	254440/254440	---M-Z	200	added ('OK')	text/html	etag:W/%223e1e8-XjcsjQRPM/i8XznE0TO5XcY9Sok%22	https://www.trustedshops.de/bewertung/info_XF83EE0CD9C4D551755AF32C24FA60B5A.html?page=2	C:/My%20Web%20Sites/c/www.trustedshops.de/bewertung/info_XF83EE0CD9C4D551755AF32C24FA60B5A4658.html	(from https://www.trustedshops.de/bewertung/info_XF83EE0CD9C4D551755AF32C24FA60B5A.html)
17:10:33	297/297	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2017%20Dec%202019%2016:10:35%20GMT	http://www.trustedshops.de/bewertung/info_XF83EE0CD9C4D551755AF32C24FA60B5A.html?stars=5	C:/My%20Web%20Sites/c/www.trustedshops.de/bewertung/info_XF83EE0CD9C4D551755AF32C24FA60B5A.51994.delayed	(from https://www.trustedshops.de/bewertung/info_XF83EE0CD9C4D551755AF32C24FA60B5A.html)
17:10:38	297/297	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2017%20Dec%202019%2016:10:39%20GMT	http://www.trustedshops.de/bewertung/info_XF83EE0CD9C4D551755AF32C24FA60B5A.html?stars=4	C:/My%20Web%20Sites/c/www.trustedshops.de/bewertung/info_XF83EE0CD9C4D551755AF32C24FA60B5A.7731d.delayed	(from https://www.trustedshops.de/bewertung/info_XF83EE0CD9C4D551755AF32C24FA60B5A.html)
17:10:38	252302/252302	---M-Z	200	added ('OK')	text/html	etag:W/%223d98e-pFfSe41WNcrk4F1LaWadQlYKRto%22	https://www.trustedshops.de/bewertung/info_XF83EE0CD9C4D551755AF32C24FA60B5A.html?stars=5	C:/My%20Web%20Sites/c/www.trustedshops.de/bewertung/info_XF83EE0CD9C4D551755AF32C24FA60B5A1994.html	(from https://www.trustedshops.de/bewertung/info_XF83EE0CD9C4D551755AF32C24FA60B5A.html)
17:10:43	255076/255076	---M-Z	200	added ('OK')	text/html	etag:W/%223e464-ooWDPoGTX3SWWhJBsE+IwclYEik%22	https://www.trustedshops.de/bewertung/info_XF83EE0CD9C4D551755AF32C24FA60B5A.html?stars=4	C:/My%20Web%20Sites/c/www.trustedshops.de/bewertung/info_XF83EE0CD9C4D551755AF32C24FA60B5A731d.html	(from https://www.trustedshops.de/bewertung/info_XF83EE0CD9C4D551755AF32C24FA60B5A.html)
17:10:43	297/297	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2017%20Dec%202019%2016:10:44%20GMT	http://www.trustedshops.de/bewertung/info_XF83EE0CD9C4D551755AF32C24FA60B5A.html?stars=3	C:/My%20Web%20Sites/c/www.trustedshops.de/bewertung/info_XF83EE0CD9C4D551755AF32C24FA60B5A.94907.delayed	(from https://www.trustedshops.de/bewertung/info_XF83EE0CD9C4D551755AF32C24FA60B5A.html)
17:10:48	297/297	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2017%20Dec%202019%2016:10:49%20GMT	http://www.trustedshops.de/bewertung/info_XF83EE0CD9C4D551755AF32C24FA60B5A.html?stars=2	C:/My%20Web%20Sites/c/www.trustedshops.de/bewertung/info_XF83EE0CD9C4D551755AF32C24FA60B5A.b9985.delayed	(from https://www.trustedshops.de/bewertung/info_XF83EE0CD9C4D551755AF32C24FA60B5A.html)
17:10:48	224042/224042	---M-Z	200	added ('OK')	text/html	etag:W/%2236b2a-rQPQnXGpMSn22jJlNLR9oS/KQLo%22	https://www.trustedshops.de/bewertung/info_XF83EE0CD9C4D551755AF32C24FA60B5A.html?stars=3	C:/My%20Web%20Sites/c/www.trustedshops.de/bewertung/info_XF83EE0CD9C4D551755AF32C24FA60B5A4907.html	(from https://www.trustedshops.de/bewertung/info_XF83EE0CD9C4D551755AF32C24FA60B5A.html)
17:10:53	297/297	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2017%20Dec%202019%2016:10:54%20GMT	http://www.trustedshops.de/bewertung/info_XF83EE0CD9C4D551755AF32C24FA60B5A.html?stars=1	C:/My%20Web%20Sites/c/www.trustedshops.de/bewertung/info_XF83EE0CD9C4D551755AF32C24FA60B5A.d3dc1.delayed	(from https://www.trustedshops.de/bewertung/info_XF83EE0CD9C4D551755AF32C24FA60B5A.html)
17:10:53	213063/213063	---M-Z	200	added ('OK')	text/html	etag:W/%2234047-XBkw0aLbhpMsomSRqEYOyMV5UL8%22	https://www.trustedshops.de/bewertung/info_XF83EE0CD9C4D551755AF32C24FA60B5A.html?stars=2	C:/My%20Web%20Sites/c/www.trustedshops.de/bewertung/info_XF83EE0CD9C4D551755AF32C24FA60B5A9985.html	(from https://www.trustedshops.de/bewertung/info_XF83EE0CD9C4D551755AF32C24FA60B5A.html)
